Assembly Accession	Assembly Name	Organism Name	Annotation Name	Assembly Level	Assembly Release Date	Assembly Stats Number of Scaffolds	Assembly BioProject Accession	Assembly BioSample Accession
GCF_003546465.1	ASM354646v1	Burkholderia cepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-09-18	4.0	PRJNA244016	SAMN02795966
GCF_000292915.1	ASM29291v1	Burkholderia cepacia	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2012-08-27	2.0	PRJNA66091	SAMN02604072
GCF_040215475.1	ASM4021547v1	Burkholderia contaminans	GCF_040215475.1-RS_2024_06_19	Complete Genome	2024-06-20	3.0	PRJNA1120374	SAMN41688866
GCF_029633825.1	ASM2963382v1	Burkholderia contaminans	GCF_029633825.1-RS_2024_04_11	Complete Genome	2023-04-10	7.0	PRJNA774806	SAMN24289055
GCF_001029145.1	ASM102914v1	Burkholderia contaminans	GCF_001029145.1-RS_2024_04_21	Complete Genome	2015-06-17	3.0	PRJNA263944	SAMN03135394
GCF_029633645.1	ASM2963364v1	Burkholderia contaminans	GCF_029633645.1-RS_2024_04_11	Complete Genome	2023-04-10	3.0	PRJNA774806	SAMN24289056
GCF_022533485.1	ASM2253348v1	Burkholderia contaminans	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-03-09	4.0	PRJNA805242	SAMN26027413
GCF_018223785.1	ASM1822378v1	Burkholderia contaminans	GCF_018223785.1-RS_2024_05_18	Complete Genome	2021-05-02	6.0	PRJNA724803	SAMN18839523
GCF_007724625.1	ASM772462v1	Burkholderia contaminans	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-07-31	5.0	PRJNA556303	SAMN12347524
GCF_009755625.1	ASM975562v1	Burkholderia contaminans	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-12-16	5.0	PRJNA593683	SAMN13483398
GCF_009191525.1	ASM919152v1	Burkholderia contaminans	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-10-21	4.0	PRJNA439184	SAMN08741666
GCF_044057485.1	ASM4405748v1	Burkholderia contaminans	GCF_044057485.1-RS_2024_10_30	Complete Genome	2024-10-30	5.0	PRJNA1175622	SAMN44367217
GCF_029590335.1	ASM2959033v1	Burkholderia contaminans	GCF_029590335.1-RS_2024_04_04	Complete Genome	2023-04-05	6.0	PRJNA946564	SAMN33824436
GCF_029633805.1	ASM2963380v1	Burkholderia contaminans	GCF_029633805.1-RS_2024_04_11	Complete Genome	2023-04-10	5.0	PRJNA774806	SAMN24289057
GCF_003704285.1	ASM370428v1	Burkholderia contaminans	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-06	3.0	PRJNA279182	SAMN03449226
GCF_024661975.1	ASM2466197v1	Burkholderia contaminans	GCF_024661975.1-RS_2024_08_31	Complete Genome	2022-08-15	4.0	PRJNA866646	SAMN30170215
GCF_025643515.1	ASM2564351v1	Burkholderia contaminans	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-10-11	5.0	PRJNA852277	SAMN29271628
GCF_019915365.1	ASM1991536v1	Burkholderia contaminans	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-09	6.0	PRJNA754843	SAMN20982457
GCF_037101275.1	ASM3710127v1	Burkholderia contaminans	GCF_037101275.1-RS_2024_04_05	Complete Genome	2024-04-05	3.0	PRJDB16832	SAMD00652216
GCF_025643535.1	ASM2564353v1	Burkholderia contaminans	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2022-10-11	5.0	PRJNA852277	SAMN29271627
GCF_002924455.1	ASM292445v1	Burkholderia contaminans	GCF_002924455.1-RS_2024_09_18	Chromosome	2018-03-07	6.0	PRJNA429933	SAMN08362572
GCF_902499115.1	ASM90249911v1	Burkholderia diffusa	GCF_902499115.1-RS_2024_07_23	Contig	2020-04-25		PRJEB33447	SAMEA5780085
GCF_001718315.1	ASM171831v1	Burkholderia diffusa	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-02	3.0	PRJNA279182	SAMN03449129
GCF_019930785.1	ASM1993078v1	Burkholderia dolosa	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-12	3.0	PRJNA231221	SAMN20888880
GCF_020736245.1	ASM2073624v1	Burkholderia dolosa	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-03	3.0	PRJNA231221	SAMN22091641
GCF_003813045.1	ASM381304v1	Burkholderia dolosa	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-11-21	3.0	PRJNA231221	SAMN10163186
GCF_016889205.1	ASM1688920v1	Burkholderia dolosa	GCF_016889205.1-RS_2024_03_29	Complete Genome	2021-02-15	3.0	PRJNA231221	SAMN16357414
GCF_030848725.1	ASM3084872v1	Burkholderia dolosa	GCF_030848725.1-RS_2024_08_21	Complete Genome	2023-08-22	4.0	PRJNA1001802	SAMN36815367
GCF_020736645.1	ASM2073664v1	Burkholderia dolosa	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2021-11-03	3.0	PRJNA231221	SAMN22091642
GCF_020809565.1	ASM2080956v1	Burkholderia dolosa	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2021-11-09	4.0	PRJNA231221	SAMN22365118
GCF_000959505.1	ASM95950v1	Burkholderia dolosa	GCF_000959505.1-RS_2024_06_16	Complete Genome	2015-03-20	3.0	PRJNA235220	SAMN03144971
GCF_000497165.1	Bdolosa1.0	Burkholderia dolosa	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2013-11-19	3.0	PRJNA214965	SAMN02470544
GCF_016698705.1	ASM1669870v1	Burkholderia gladioli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-01-19	3.0	PRJNA691633	SAMN17301201
GCF_000959725.1	ASM95972v1	Burkholderia gladioli	GCF_000959725.1-RS_2024_06_16	Complete Genome	2015-03-20	5.0	PRJNA238809	SAMN03010439
GCF_036839165.1	ASM3683916v1	Burkholderia gladioli	GCF_036839165.1-RS_2024_04_05	Complete Genome	2024-04-05	3.0	PRJNA579476	SAMN13111909
GCF_036837415.1	ASM3683741v1	Burkholderia gladioli	GCF_036837415.1-RS_2024_04_05	Complete Genome	2024-04-05	3.0	PRJNA579474	SAMN13111906
GCF_026651625.1	ASM2665162v1	Burkholderia gladioli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-05	4.0	PRJNA484757	SAMN09768769
GCF_014263355.1	ASM1426335v1	Burkholderia gladioli	GCF_014263355.1-RS_2024_10_16	Complete Genome	2020-08-21	3.0	PRJNA637828	SAMN15158960
GCF_025244785.1	ASM2524478v1	Burkholderia gladioli	GCF_025244785.1-RS_2024_09_29	Complete Genome	2022-09-17	4.0	PRJNA874889	SAMN30583429
GCF_023658595.1	ASM2365859v1	Burkholderia gladioli	GCF_023658595.1-RS_2024_06_11	Complete Genome	2022-06-07	2.0	PRJNA842898	SAMN28690464
GCF_042604585.1	ASM4260458v1	Burkholderia gladioli	GCF_042604585.1-RS_2024_10_04	Complete Genome	2024-10-10	2.0	PRJNA1035503	SAMN38091575
GCF_042604595.1	ASM4260459v1	Burkholderia gladioli	GCF_042604595.1-RS_2024_10_04	Complete Genome	2024-10-10	4.0	PRJNA1035503	SAMN38091576
GCF_016026015.1	ASM1602601v1	Burkholderia gladioli	GCF_016026015.1-RS_2024_05_13	Chromosome	2020-12-14	5.0	PRJNA231221	SAMN13450481
GCF_000194745.1	ASM19474v1	Burkholderia gladioli	GCF_000194745.1-RS_2024_03_27	Complete Genome	2011-04-01	6.0	PRJNA64503	SAMN02603164
GCF_003613595.1	ASM361359v1	Burkholderia gladioli pv. gladioli	GCF_003613595.1-RS_2024_09_23	Complete Genome	2018-07-03	5.0	PRJNA231221	SAMN05004743
GCF_002208175.1	ASM220817v1	Burkholderia gladioli pv. gladioli	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-06-26	5.0	PRJNA390908	SAMN07253176
GCF_002393425.1	ASM239342v1	Burkholderia gladioli pv. gladioli	GCF_002393425.1-RS_2024_07_24	Complete Genome	2017-09-28	3.0	PRJNA231221	SAMN07312433
GCF_024664275.1	ASM2466427v1	Burkholderia glumae	GCF_024664275.1-RS_2024_03_31	Complete Genome	2022-08-15	5.0	PRJNA853623	SAMN29352458
GCF_024760645.1	ASM2476064v1	Burkholderia glumae	GCF_024760645.1-RS_2024_09_13	Complete Genome	2022-08-29	5.0	PRJNA504368	SAMN10390413
GCF_024760585.1	ASM2476058v1	Burkholderia glumae	GCF_024760585.1-RS_2024_09_13	Complete Genome	2022-08-29	5.0	PRJNA504366	SAMN10390412
GCF_026651975.1	ASM2665197v1	Burkholderia glumae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-05	6.0	PRJNA503942	SAMN10386233
GCF_026651995.1	ASM2665199v1	Burkholderia glumae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-05	6.0	PRJNA504363	SAMN10390398
GCF_026652015.1	ASM2665201v1	Burkholderia glumae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-05	6.0	PRJNA504362	SAMN10390399
GCF_024663975.1	ASM2466397v1	Burkholderia glumae	GCF_024663975.1-RS_2024_04_01	Complete Genome	2022-08-15	6.0	PRJNA853606	SAMN29352444
GCF_024664035.1	ASM2466403v1	Burkholderia glumae	GCF_024664035.1-RS_2024_04_01	Complete Genome	2022-08-15	6.0	PRJNA853607	SAMN29352446
GCF_024662475.1	ASM2466247v1	Burkholderia glumae	GCF_024662475.1-RS_2024_04_01	Complete Genome	2022-08-15	6.0	PRJNA853590	SAMN29352435
GCF_024662615.1	ASM2466261v1	Burkholderia glumae	GCF_024662615.1-RS_2024_04_02	Complete Genome	2022-08-15	6.0	PRJNA853595	SAMN29352430
GCF_024662735.1	ASM2466273v1	Burkholderia glumae	GCF_024662735.1-RS_2024_04_01	Complete Genome	2022-08-15	6.0	PRJNA853596	SAMN29352431
GCF_024662895.1	ASM2466289v1	Burkholderia glumae	GCF_024662895.1-RS_2024_04_01	Complete Genome	2022-08-15	6.0	PRJNA853597	SAMN29352432
GCF_024663375.1	ASM2466337v1	Burkholderia glumae	GCF_024663375.1-RS_2024_04_01	Complete Genome	2022-08-15	6.0	PRJNA853601	SAMN29352440
GCF_024663775.1	ASM2466377v1	Burkholderia glumae	GCF_024663775.1-RS_2024_04_01	Complete Genome	2022-08-15	6.0	PRJNA853604	SAMN29352442
GCF_024663895.1	ASM2466389v1	Burkholderia glumae	GCF_024663895.1-RS_2024_04_01	Complete Genome	2022-08-15	6.0	PRJNA853605	SAMN29352443
GCF_024664155.1	ASM2466415v1	Burkholderia glumae	GCF_024664155.1-RS_2024_04_01	Complete Genome	2022-08-15	6.0	PRJNA853621	SAMN29352433
GCF_024664175.1	ASM2466417v1	Burkholderia glumae	GCF_024664175.1-RS_2024_04_01	Complete Genome	2022-08-15	6.0	PRJNA853620	SAMN29352434
GCF_024663615.1	ASM2466361v1	Burkholderia glumae	GCF_024663615.1-RS_2024_04_01	Complete Genome	2022-08-15	6.0	PRJNA853602	SAMN29352441
GCF_024663995.1	ASM2466399v1	Burkholderia glumae	GCF_024663995.1-RS_2024_04_01	Complete Genome	2022-08-15	6.0	PRJNA853608	SAMN29352445
GCF_030505635.1	ASM3050563v1	Burkholderia glumae	GCF_030505635.1-RS_2024_07_18	Complete Genome	2023-07-19	6.0	PRJNA978594	SAMN35558275
GCF_024664055.1	ASM2466405v1	Burkholderia glumae	GCF_024664055.1-RS_2024_03_31	Complete Genome	2022-08-15	6.0	PRJNA853611	SAMN29352448
GCF_024760625.1	ASM2476062v1	Burkholderia glumae	GCF_024760625.1-RS_2024_09_13	Complete Genome	2022-08-29	5.0	PRJNA504367	SAMN10390410
GCF_024662435.1	ASM2466243v1	Burkholderia glumae	GCF_024662435.1-RS_2024_03_30	Complete Genome	2022-08-15	4.0	PRJNA853592	SAMN29352428
GCF_024664075.1	ASM2466407v1	Burkholderia glumae	GCF_024664075.1-RS_2024_03_31	Complete Genome	2022-08-15	6.0	PRJNA853610	SAMN29352449
GCF_024664255.1	ASM2466425v1	Burkholderia glumae	GCF_024664255.1-RS_2024_03_30	Complete Genome	2022-08-15	4.0	PRJNA853618	SAMN29352457
GCF_024664195.1	ASM2466419v1	Burkholderia glumae	GCF_024664195.1-RS_2024_03_31	Complete Genome	2022-08-15	5.0	PRJNA853624	SAMN29352452
GCF_017858835.1	ASM1785883v1	Burkholderia glumae	GCF_017858835.1-RS_2024_04_29	Complete Genome	2021-04-08	4.0	PRJNA382584	SAMN06710871
GCF_024022955.1	ASM2402295v1	Burkholderia glumae	GCF_024022955.1-RS_2024_09_05	Complete Genome	2022-06-29	5.0	PRJNA849006	SAMN29038836
GCF_024760605.1	ASM2476060v1	Burkholderia glumae	GCF_024760605.1-RS_2024_09_13	Complete Genome	2022-08-29	6.0	PRJNA504365	SAMN10390411
GCF_024662395.1	ASM2466239v1	Burkholderia glumae	GCF_024662395.1-RS_2024_03_31	Complete Genome	2022-08-15	5.0	PRJNA853382	SAMN29352436
GCF_024663255.1	ASM2466325v1	Burkholderia glumae	GCF_024663255.1-RS_2024_03_30	Complete Genome	2022-08-15	5.0	PRJNA853600	SAMN29352439
GCF_024664115.1	ASM2466411v1	Burkholderia glumae	GCF_024664115.1-RS_2024_03_31	Complete Genome	2022-08-15	6.0	PRJNA853616	SAMN29352453
GCF_024662455.1	ASM2466245v1	Burkholderia glumae	GCF_024662455.1-RS_2024_03_31	Complete Genome	2022-08-15	6.0	PRJNA853594	SAMN29352429
GCF_009578005.1	ASM957800v1	Burkholderia glumae	GCF_009578005.1-RS_2024_07_21	Complete Genome	2019-11-05	5.0	PRJNA576729	SAMN13005961
GCF_024664095.1	ASM2466409v1	Burkholderia glumae	GCF_024664095.1-RS_2024_04_02	Complete Genome	2022-08-15	6.0	PRJNA853614	SAMN29352450
GCF_024664015.1	ASM2466401v1	Burkholderia glumae	GCF_024664015.1-RS_2024_03_29	Complete Genome	2022-08-15	5.0	PRJNA853609	SAMN29352447
GCF_024663015.1	ASM2466301v1	Burkholderia glumae	GCF_024663015.1-RS_2024_03_31	Complete Genome	2022-08-15	5.0	PRJNA853599	SAMN29352438
GCF_016026055.1	ASM1602605v1	Burkholderia glumae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-14	4.0	PRJNA231221	SAMN13450479
GCF_016598875.1	ASM1659887v1	Burkholderia glumae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-01-10	5.0	PRJNA231221	SAMN13450451
GCF_024664235.1	ASM2466423v1	Burkholderia glumae	GCF_024664235.1-RS_2024_03_31	Complete Genome	2022-08-15	5.0	PRJNA853619	SAMN29352455
GCF_024662415.1	ASM2466241v1	Burkholderia glumae	GCF_024662415.1-RS_2024_03_29	Complete Genome	2022-08-15	4.0	PRJNA853589	SAMN29352456
GCF_024663135.1	ASM2466313v1	Burkholderia glumae	GCF_024663135.1-RS_2024_03_31	Complete Genome	2022-08-15	7.0	PRJNA853598	SAMN29352437
GCF_024664215.1	ASM2466421v1	Burkholderia glumae	GCF_024664215.1-RS_2024_03_29	Complete Genome	2022-08-15	6.0	PRJNA853615	SAMN29352454
GCF_012974245.1	ASM1297424v1	Burkholderia glumae	GCF_012974245.1-RS_2024_07_20	Complete Genome	2020-05-05	5.0	PRJNA576729	SAMN14694445
GCF_013307145.1	ASM1330714v1	Burkholderia glumae	GCF_013307145.1-RS_2024_07_07	Complete Genome	2020-06-09	4.0	PRJNA382586	SAMN06710899
GCF_013307165.1	ASM1330716v1	Burkholderia glumae	GCF_013307165.1-RS_2024_07_23	Complete Genome	2020-06-09	5.0	PRJNA394794	SAMN07411560
GCF_009931375.1	ASM993137v1	Burkholderia glumae	GCF_009931375.1-RS_2024_03_17	Complete Genome	2020-01-27	4.0	PRJNA521805	SAMN10913710
GCF_013122645.1	ASM1312264v1	Burkholderia glumae	GCF_013122645.1-RS_2024_07_20	Complete Genome	2020-05-19	3.0	PRJNA576729	SAMN13005960
GCF_024664135.1	ASM2466413v1	Burkholderia glumae	GCF_024664135.1-RS_2024_03_31	Complete Genome	2022-08-15	6.0	PRJNA853612	SAMN29352451
GCF_009857095.1	ASM985709v1	Burkholderia glumae	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-01-12	3.0	PRJNA595825	SAMN13567886
GCF_000022645.2	ASM2264v1	Burkholderia glumae	GCF_000022645.2-RS_2024_09_05	Complete Genome	2011-07-05	6.0	PRJNA33901	SAMN02603166
GCF_000960995.1	ASM96099v1	Burkholderia glumae	GCF_000960995.1-RS_2024_06_16	Complete Genome	2015-03-24	4.0	PRJNA259679	SAMN03012983
GCF_013403875.1	ASM1340387v1	Burkholderia guangdongensis	GCF_013403875.1-RS_2024_05_05	Contig	2020-07-13		PRJNA644343	SAMN15457008
GCF_001513745.1	ASM151374v1	Burkholderia humptydooensis	GCF_001513745.1-RS_2024_09_23	Complete Genome	2016-01-12	3.0	PRJNA279182	SAMN04196784
GCF_016027455.1	ASM1602745v1	Burkholderia humptydooensis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-12-14	3.0	PRJNA231221	SAMN13450429
GCF_001462435.1	ASM146243v1	Burkholderia humptydooensis	GCF_001462435.1-RS_2024_04_21	Chromosome	2016-05-30	4.0	PRJNA279182	SAMN03449261
GCF_000012945.1	ASM1294v1	Burkholderia lata	GCF_000012945.1-RS_2024_04_22	Complete Genome	2005-10-20	3.0	PRJNA10695	SAMN02598262
GCF_003711145.1	ASM371114v1	Burkholderia lata	GCF_003711145.1-RS_2024_05_19	Complete Genome	2018-11-05	3.0	PRJNA419071	SAMN08042342
GCF_001718575.1	ASM171857v1	Burkholderia lata	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-02	3.0	PRJNA279182	SAMN03449255
GCF_902832795.1	ASM90283279v1	Burkholderia latens	GCF_902832795.1-RS_2024_04_20	Scaffold	2020-06-09	29.0	PRJEB35318	SAMEA6503531
GCF_001718795.1	ASM171879v1	Burkholderia latens	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-02	4.0	PRJNA279182	SAMN03449404
GCF_017815615.1	ASM1781561v1	Burkholderia latens	GCF_017815615.1-RS_2024_06_03	Complete Genome	2021-04-07	4.0	PRJNA717300	SAMN18497773
GCF_017815595.1	ASM1781559v1	Burkholderia latens	GCF_017815595.1-RS_2024_06_03	Complete Genome	2021-04-07	3.0	PRJNA717300	SAMN18497774
GCF_033956065.1	ASM3395606v1	Burkholderia mallei	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-27	2.0	PRJNA954830	SAMN34156470
GCF_033870395.1	ASM3387039v1	Burkholderia mallei	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-21	1.0	PRJNA954830	SAMN34156471
GCF_939576165.1	34	Burkholderia mallei	GCF_939576165.1-RS_2024_07_04	Complete Genome	2022-06-24	1.0	PRJEB52165	SAMEA14091970
GCF_002346085.1	ASM234608v1	Burkholderia mallei	GCF_002346085.1-RS_2024_03_31	Complete Genome	2017-09-22	2.0	PRJNA264186	SAMN03121651
GCF_002346005.1	ASM234600v1	Burkholderia mallei	GCF_002346005.1-RS_2024_04_01	Complete Genome	2017-09-22	2.0	PRJNA264186	SAMN03121657
GCF_002346145.1	ASM234614v1	Burkholderia mallei	GCF_002346145.1-RS_2024_03_31	Complete Genome	2017-09-22	2.0	PRJNA264186	SAMN03121654
GCF_002346165.1	ASM234616v1	Burkholderia mallei	GCF_002346165.1-RS_2024_03_30	Complete Genome	2017-09-22	2.0	PRJNA264186	SAMN03121655
GCF_000959465.1	ASM95946v1	Burkholderia mallei	GCF_000959465.1-RS_2024_06_16	Complete Genome	2015-03-20	2.0	PRJNA238813	SAMN03107083
GCF_000959405.1	ASM95940v1	Burkholderia mallei	GCF_000959405.1-RS_2024_06_16	Complete Genome	2015-03-20	2.0	PRJNA238562	SAMN03079578
GCF_033870375.1	ASM3387037v1	Burkholderia mallei	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-21	2.0	PRJNA954830	SAMN34156472
GCF_002346065.1	ASM234606v1	Burkholderia mallei	GCF_002346065.1-RS_2024_04_01	Complete Genome	2017-09-22	2.0	PRJNA264186	SAMN03121650
GCF_001729545.1	ASM172954v1	Burkholderia mallei	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-16	2.0	PRJNA342247	SAMN05607081
GCF_000756025.1	ASM75602v2	Burkholderia mallei	GCF_000756025.1-RS_2024_03_29	Complete Genome	2014-11-05	2.0	PRJNA244043	SAMN02849482
GCF_000959485.1	ASM95948v1	Burkholderia mallei	GCF_000959485.1-RS_2024_06_16	Complete Genome	2015-03-20	2.0	PRJNA238930	SAMN03120828
GCF_000959625.1	ASM95962v1	Burkholderia mallei	GCF_000959625.1-RS_2024_06_16	Complete Genome	2015-03-20	2.0	PRJNA238935	SAMN03222861
GCF_000755885.1	ASM75588v1	Burkholderia mallei	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-09-18	2.0	PRJNA244052	SAMN02839409
GCF_000755865.1	ASM75586v1	Burkholderia mallei	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-09-18	2.0	PRJNA244041	SAMN02821273
GCF_002346105.1	ASM234610v1	Burkholderia mallei	GCF_002346105.1-RS_2024_03_31	Complete Genome	2017-09-22	2.0	PRJNA264186	SAMN03121652
GCF_000755785.1	ASM75578v1	Burkholderia mallei	GCF_000755785.1-RS_2024_03_30	Complete Genome	2014-09-18	2.0	PRJNA244037	SAMN02945023
GCF_002346045.1	ASM234604v1	Burkholderia mallei	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-09-22	2.0	PRJNA264186	SAMN03174435
GCF_002346205.1	ASM234620v1	Burkholderia mallei	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-09-22	2.0	PRJNA264186	SAMN03174429
GCF_002346125.1	ASM234612v1	Burkholderia mallei	GCF_002346125.1-RS_2024_04_01	Complete Genome	2017-09-22	2.0	PRJNA264186	SAMN03121653
GCF_000755845.1	ASM75584v1	Burkholderia mallei	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-09-18	2.0	PRJNA244055	SAMN02837932
GCF_002345985.1	ASM234598v1	Burkholderia mallei	GCF_002345985.1-RS_2024_03_31	Complete Genome	2017-09-22	2.0	PRJNA264186	SAMN03121648
GCF_002346025.1	ASM234602v1	Burkholderia mallei	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-09-22	2.0	PRJNA264186	SAMN03121649
GCF_000959165.1	ASM95916v1	Burkholderia mallei	GCF_000959165.1-RS_2024_06_16	Complete Genome	2015-03-20	2.0	PRJNA238811	SAMN03010440
GCF_033870355.1	ASM3387035v1	Burkholderia mallei	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-21	2.0	PRJNA954830	SAMN34156473
GCF_002346185.1	ASM234618v1	Burkholderia mallei	GCF_002346185.1-RS_2024_04_01	Complete Genome	2017-09-22	2.0	PRJNA264186	SAMN03121656
GCF_000959585.1	ASM95958v1	Burkholderia mallei	GCF_000959585.1-RS_2024_06_16	Chromosome	2015-03-20	2.0	PRJNA238918	SAMN03198318
GCF_003933045.1	ASM393304v1	Burkholderia mallei	GCF_003933045.1-RS_2024_03_29	Chromosome	2018-12-14	2.0	PRJNA231221	SAMN10228570
GCF_003933025.1	ASM393302v1	Burkholderia mallei	GCF_003933025.1-RS_2024_04_07	Chromosome	2018-12-14	2.0	PRJNA231221	SAMN10228568
GCF_003933015.1	ASM393301v1	Burkholderia mallei	GCF_003933015.1-RS_2024_04_07	Chromosome	2018-12-14	2.0	PRJNA231221	SAMN10228565
GCF_003933035.1	ASM393303v1	Burkholderia mallei	GCF_003933035.1-RS_2024_04_07	Chromosome	2018-12-14	2.0	PRJNA231221	SAMN10228569
GCF_000011705.1	ASM1170v1	Burkholderia mallei	GCF_000011705.1-RS_2024_03_28	Complete Genome	2005-06-06	2.0	PRJNA171	SAMN02603987
GCF_000015605.1	ASM1560v1	Burkholderia mallei	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2007-01-30	2.0	PRJNA13943	SAMN02604032
GCF_000015625.1	ASM1562v1	Burkholderia mallei	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2007-02-27	2.0	PRJNA13946	SAMN02604033
GCF_000762285.1	ASM76228v1	Burkholderia mallei	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-10-02	2.0	PRJNA238810	SAMN02798191
GCF_000015465.1	ASM1546v1	Burkholderia mallei	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2007-01-05	2.0	PRJNA13947	SAMN02604034
GCF_001523745.2	ASM152374v2	Burkholderia mayonis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-02	2.0	PRJNA279182	SAMN03449221
GCF_001522635.2	ASM152263v2	Burkholderia mayonis	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-02	2.0	PRJNA279182	SAMN03449222
GCF_001718555.1	ASM171855v1	Burkholderia metallica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-09-02	3.0	PRJNA279182	SAMN03449247
GCF_036352035.1	ASM3635203v1	Burkholderia multivorans	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-02-04	3.0	PRJNA812595	SAMN38122035
GCF_023373625.1	ASM2337362v1	Burkholderia multivorans	GCF_023373625.1-RS_2024_04_02	Complete Genome	2022-05-16	3.0	PRJNA748922	SAMN20348567
GCF_023373645.1	ASM2337364v1	Burkholderia multivorans	GCF_023373645.1-RS_2024_04_02	Complete Genome	2022-05-16	3.0	PRJNA748922	SAMN20348566
GCF_023374575.1	ASM2337457v1	Burkholderia multivorans	GCF_023374575.1-RS_2024_04_02	Complete Genome	2022-05-16	3.0	PRJNA748922	SAMN20348594
